state_occ_id,state_id,anzscoCode,occupation,attribute,value,prefix,streams.min_points_state,streams.stream,streams.visa_190_flag,streams.visa_491_flag,streams.work_experience_state,streams.work_experience_state_years,streams.work_experience_overseas_years,streams.work_experience_description,streams.study_in_state_required,streams.study_time_state_required,streams.study_in_state_level,streams.job_offer_required,streams.english_level_required,streams.regional_study_bonus,streams.family_sponsorship,streams.family_sponsorship_state_location,streams.residency_requirement,streams.offshore_condition,streams.sector_critical,streams.finantial_capacity,streams.finantial_capacity_value,streams.other_requirement,offshore
QLD_133111,QLD,133111,Construction Project Manager,491,Yes_491,QLD_491,65,491,-,Yes,Yes,0.25,-,"Have been working in regional Queensland for at least the last 3 months.
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week
When you submit your EOI for Queensland nomination, you must still be employed in a role that meets the above requirements.

Have evidence that your employment is ongoing for a further 6 months. This is counted from when you submit your EOI.",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,Must commit to living and working in Queensland for 2 years from date your visa is granted.,Yes
QLD_133111,QLD,133111,Construction Project Manager,190,Yes_190,QLD_190,65,190,Yes,No,Yes,0.5,-,"Have been living and working in Queensland for at least the last 6 months. This work experience must have been:
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,"Must commit to living and working in regional Queensland for 3 years from date your visa is granted.
",Yes
QLD_134111,QLD,134111,Child Care Centre Manager,491,Yes_491,QLD_491,65,491,-,Yes,Yes,0.25,-,"Have been working in regional Queensland for at least the last 3 months.
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week
When you submit your EOI for Queensland nomination, you must still be employed in a role that meets the above requirements.

Have evidence that your employment is ongoing for a further 6 months. This is counted from when you submit your EOI.",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,Must commit to living and working in Queensland for 2 years from date your visa is granted.,No
QLD_134111,QLD,134111,Child Care Centre Manager,190,No_190,QLD_190,65,190,Yes,No,Yes,0.5,-,"Have been living and working in Queensland for at least the last 6 months. This work experience must have been:
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,"Must commit to living and working in regional Queensland for 3 years from date your visa is granted.
",No
QLD_133211,QLD,133211,Engineering Manager,491,Yes_491,QLD_491,65,491,-,Yes,Yes,0.25,-,"Have been working in regional Queensland for at least the last 3 months.
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week
When you submit your EOI for Queensland nomination, you must still be employed in a role that meets the above requirements.

Have evidence that your employment is ongoing for a further 6 months. This is counted from when you submit your EOI.",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,Must commit to living and working in Queensland for 2 years from date your visa is granted.,Yes
QLD_133211,QLD,133211,Engineering Manager,190,Yes_190,QLD_190,65,190,Yes,No,Yes,0.5,-,"Have been living and working in Queensland for at least the last 6 months. This work experience must have been:
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,"Must commit to living and working in regional Queensland for 3 years from date your visa is granted.
",Yes
QLD_233111,QLD,233111,Chemical Engineer,491,Yes_491,QLD_491,65,491,-,Yes,Yes,0.25,-,"Have been working in regional Queensland for at least the last 3 months.
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week
When you submit your EOI for Queensland nomination, you must still be employed in a role that meets the above requirements.

Have evidence that your employment is ongoing for a further 6 months. This is counted from when you submit your EOI.",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,Must commit to living and working in Queensland for 2 years from date your visa is granted.,Yes
QLD_233111,QLD,233111,Chemical Engineer,190,Yes_190,QLD_190,65,190,Yes,No,Yes,0.5,-,"Have been living and working in Queensland for at least the last 6 months. This work experience must have been:
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,"Must commit to living and working in regional Queensland for 3 years from date your visa is granted.
",Yes
QLD_134212,QLD,134212,Nursing Clinical Director,491,Yes_491,QLD_491,65,491,-,Yes,Yes,0.25,-,"Have been working in regional Queensland for at least the last 3 months.
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week
When you submit your EOI for Queensland nomination, you must still be employed in a role that meets the above requirements.

Have evidence that your employment is ongoing for a further 6 months. This is counted from when you submit your EOI.",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,Must commit to living and working in Queensland for 2 years from date your visa is granted.,No
QLD_134212,QLD,134212,Nursing Clinical Director,190,Yes_190,QLD_190,65,190,Yes,No,Yes,0.5,-,"Have been living and working in Queensland for at least the last 6 months. This work experience must have been:
After you obtained your qualification
Closely related to your nominated occupation
At least 30 hours per week",No,No,No,Yes,Competent,No,No,No,Yes,No,-,-,-,"Must commit to living and working in regional Queensland for 3 years from date your visa is granted.
",No
